"pertanyaan","jawaban","kategori"
"ayam goreng royal's berapa?","Harga AYAM GORENG ALA ROYAL'S: Rp.120.000","harga"
"royal's fried chicken harga","Harga AYAM GORENG ALA ROYAL'S: Rp.120.000","harga"
"harga ayam royal special","Harga AYAM GORENG ALA ROYAL'S: Rp.120.000","harga"
"harga AYAM GORENG SAMBAL TERASI?","Harga AYAM GORENG SAMBAL TERASI: Rp.56.000","harga"
"ayam goreng sambal terasi harganya?","Harga AYAM GORENG SAMBAL TERASI: Rp.56.000","harga"
"shrimp paste chili chicken price","Harga AYAM GORENG SAMBAL TERASI: Rp.56.000","harga"
"harga ayam terasi","Harga AYAM GORENG SAMBAL TERASI: Rp.56.000","harga"
"harga AYAM GORENG KALASAN?","Harga AYAM GORENG KALASAN: Rp.56.000","harga"
"ayam goreng kalasan berapa?","Harga AYAM GORENG KALASAN: Rp.56.000","harga"
"kalasan fried chicken harga","Harga AYAM GORENG KALASAN: Rp.56.000","harga"
"harga ayam kalasan","Harga AYAM GORENG KALASAN: Rp.56.000","harga"
"harga AYAM BAKAR RICA?","Harga AYAM BAKAR RICA: Rp.56.000","harga"
"ayam bakar rica harganya?","Harga AYAM BAKAR RICA: Rp.56.000","harga"
"grilled rica chicken price","Harga AYAM BAKAR RICA: Rp.56.000","harga"
"harga ayam bakar pedas","Harga AYAM BAKAR RICA: Rp.56.000","harga"
"harga AYAM PANIKI?","Harga AYAM PANIKI: Rp.56.000","harga"
"ayam paniki berapa harganya?","Harga AYAM PANIKI: Rp.56.000","harga"
"paniki chicken price","Harga AYAM PANIKI: Rp.56.000","harga"
"harga ayam paniki","Harga AYAM PANIKI: Rp.56.000","harga"
"harga AYAM SAMBAL IJO?","Harga AYAM SAMBAL IJO: Rp.56.000","harga"
"ayam sambal ijo berapa?","Harga AYAM SAMBAL IJO: Rp.56.000","harga"
"green chili chicken harga","Harga AYAM SAMBAL IJO: Rp.56.000","harga"
"harga ayam sambal hijau","Harga AYAM SAMBAL IJO: Rp.56.000","harga"
"harga AYAM SUWIR?","Harga AYAM SUWIR: Rp.58.000","harga"
"ayam suwir harganya?","Harga AYAM SUWIR: Rp.58.000","harga"
"shredded chicken price","Harga AYAM SUWIR: Rp.58.000","harga"
"harga shredded chicken","Harga AYAM SUWIR: Rp.58.000","harga"
"harga AYAM KRIUK SAMBAL CUKA / BALADO?","Harga AYAM KRIUK SAMBAL CUKA / BALADO: Rp.58.000","harga"
"ayam kriuk sambal cuka berapa?","Harga AYAM KRIUK SAMBAL CUKA / BALADO: Rp.58.000","harga"
"crispy chicken with vinegar chili","Harga AYAM KRIUK SAMBAL CUKA / BALADO: Rp.58.000","harga"
"harga ayam crispy balado","Harga AYAM KRIUK SAMBAL CUKA / BALADO: Rp.58.000","harga"
"harga SAYAP AYAM?","Harga SAYAP AYAM: Rp.37.000","harga"
"sayap ayam berapa harganya?","Harga SAYAP AYAM: Rp.37.000","harga"
"chicken wings price","Harga SAYAP AYAM: Rp.37.000","harga"
"harga chicken wings","Harga SAYAP AYAM: Rp.37.000","harga"
"daftar harga menu ayam","Berikut daftar harga menu ayam: Regular Rp.50.000 (10 varian), Special Rp.56.000-58.000 (6 varian), Royal's Rp.120.000, Sayap Ayam Rp.37.000","harga"
"harga semua chicken menu","Berikut daftar harga menu ayam: Regular Rp.50.000 (10 varian), Special Rp.56.000-58.000 (6 varian), Royal's Rp.120.000, Sayap Ayam Rp.37.000","harga"
"price list ayam","Berikut daftar harga menu ayam: Regular Rp.50.000 (10 varian), Special Rp.56.000-58.000 (6 varian), Royal's Rp.120.000, Sayap Ayam Rp.37.000","harga"
"ayam termahal berapa?","Menu ayam termahal: AYAM GORENG ALA ROYAL'S Rp.120.000","harga"
"ayam termurah apa?","Menu ayam termurah: SAYAP AYAM Rp.37.000","harga"
"berapa harga ayam royal's?","Harga AYAM GORENG ALA ROYAL'S: Rp.120.000 (menu ayam termahal)","harga"
"harga chicken wings berapa?","Harga SAYAP AYAM: Rp.37.000 (menu ayam termurah)","harga"
"bebek ada menu apa saja?","Menu Bebek yang tersedia yaitu: BEBEK GORENG ALA ROYAL'S, BEBEK GORENG SAMBAL TERASI, BEBEK SAMBAL IJO, BEBEK WOKU.","menu"
"menu bebek apa yang ada?","Menu Bebek yang tersedia yaitu: BEBEK GORENG ALA ROYAL'S, BEBEK GORENG SAMBAL TERASI, BEBEK SAMBAL IJO, BEBEK WOKU.","menu"
"duck menu apa saja?","Menu Bebek yang tersedia yaitu: BEBEK GORENG ALA ROYAL'S, BEBEK GORENG SAMBAL TERASI, BEBEK SAMBAL IJO, BEBEK WOKU.","menu"
"olahan bebek apa yang tersedia?","Menu Bebek yang tersedia yaitu: BEBEK GORENG ALA ROYAL'S, BEBEK GORENG SAMBAL TERASI, BEBEK SAMBAL IJO, BEBEK WOKU.","menu"
"bebek goreng ada varian apa?","Menu Bebek yang tersedia yaitu: BEBEK GORENG ALA ROYAL'S, BEBEK GORENG SAMBAL TERASI, BEBEK SAMBAL IJO, BEBEK WOKU.","menu"
"jenis masakan bebek apa?","Menu Bebek yang tersedia yaitu: BEBEK GORENG ALA ROYAL'S, BEBEK GORENG SAMBAL TERASI, BEBEK SAMBAL IJO, BEBEK WOKU.","menu"
"apakah ada bebek goreng ala royal's?","Tersedia Bebek Goreng Ala Royal's: Rp.140.000","menu"
"apakah ada bebek goreng sambal terasi?","Tersedia Bebek Goreng Sambal Terasi: Rp.56.000","menu"
"apakah ada bebek sambal ijo?","Tersedia Bebek Sambal Ijo: Rp.56.000","menu"
"apakah ada bebek woku?","Tersedia Bebek Woku: Rp.75.000","menu"
"harga BEBEK GORENG ALA ROYAL'S?","Harga BEBEK GORENG ALA ROYAL'S: Rp.140.000","harga"
"bebek goreng royal's berapa?","Harga BEBEK GORENG ALA ROYAL'S: Rp.140.000","harga"
"duck royal's fried price","Harga BEBEK GORENG ALA ROYAL'S: Rp.140.000","harga"
"harga bebek royal special","Harga BEBEK GORENG ALA ROYAL'S: Rp.140.000","harga"
"bebek ala royal harganya?","Harga BEBEK GORENG ALA ROYAL'S: Rp.140.000","harga"
"harga bebek termahal","Harga BEBEK GORENG ALA ROYAL'S: Rp.140.000 (menu bebek termahal)","harga"
"harga BEBEK GORENG SAMBAL TERASI?","Harga BEBEK GORENG SAMBAL TERASI: Rp.56.000","harga"
"bebek goreng sambal terasi berapa?","Harga BEBEK GORENG SAMBAL TERASI: Rp.56.000","harga"
"duck with shrimp paste chili price","Harga BEBEK GORENG SAMBAL TERASI: Rp.56.000","harga"
"harga bebek terasi","Harga BEBEK GORENG SAMBAL TERASI: Rp.56.000","harga"
"bebek sambal terasi harganya?","Harga BEBEK GORENG SAMBAL TERASI: Rp.56.000","harga"
"harga BEBEK SAMBAL IJO?","Harga BEBEK SAMBAL IJO: Rp.56.000","harga"
"bebek sambal ijo berapa harganya?","Harga BEBEK SAMBAL IJO: Rp.56.000","harga"
"duck with green chili price","Harga BEBEK SAMBAL IJO: Rp.56.000","harga"
"harga bebek sambal hijau","Harga BEBEK SAMBAL IJO: Rp.56.000","harga"
"bebek sambal ijo berapa?","Harga BEBEK SAMBAL IJO: Rp.56.000","harga"
"harga BEBEK WOKU?","Harga BEBEK WOKU: Rp.75.000","harga"
"bebek woku harganya?","Harga BEBEK WOKU: Rp.75.000","harga"
"woku duck price","Harga BEBEK WOKU: Rp.75.000","harga"
"harga bebek woku","Harga BEBEK WOKU: Rp.75.000","harga"
"bebek woku berapa?","Harga BEBEK WOKU: Rp.75.000","harga"
"daftar harga menu bebek","Berikut daftar harga menu bebek: BEBEK GORENG ALA ROYAL'S Rp.140.000, BEBEK GORENG SAMBAL TERASI Rp.56.000, BEBEK SAMBAL IJO Rp.56.000, BEBEK WOKU Rp.75.000","harga"
"harga semua olahan bebek","Berikut daftar harga menu bebek: BEBEK GORENG ALA ROYAL'S Rp.140.000, BEBEK GORENG SAMBAL TERASI Rp.56.000, BEBEK SAMBAL IJO Rp.56.000, BEBEK WOKU Rp.75.000","harga"
"price list duck","Berikut daftar harga menu bebek: BEBEK GORENG ALA ROYAL'S Rp.140.000, BEBEK GORENG SAMBAL TERASI Rp.56.000, BEBEK SAMBAL IJO Rp.56.000, BEBEK WOKU Rp.75.000","harga"
"berapa range harga bebek?","Harga menu bebek mulai dari Rp.56.000 sampai Rp.140.000","harga"
"bebek harga berapa saja?","Menu bebek ada 3 range harga: Rp.56.000, Rp.75.000, dan Rp.140.000","harga"
"menu bebek termurah berapa?","Menu bebek termurah: BEBEK GORENG SAMBAL TERASI dan BEBEK SAMBAL IJO Rp.56.000","harga"
"bebek royal's mahal ya?","Ya, BEBEK GORENG ALA ROYAL'S Rp.140.000 (menu bebek termahal)","harga"
"perbedaan harga bebek","Bebek Royal's Rp.140.000, Bebek Woku Rp.75.000, Bebek lainnya Rp.56.000","harga"
"harga bebek goreng biasa","Bebek goreng biasa: BEBEK GORENG SAMBAL TERASI dan BEBEK SAMBAL IJO Rp.56.000","harga"
"bebek yang murah apa?","Bebek termurah: BEBEK GORENG SAMBAL TERASI dan BEBEK SAMBAL IJO Rp.56.000","harga"
"recommend menu bebek","Kami punya 4 menu bebek: BEBEK GORENG ALA ROYAL'S (premium), BEBEK WOKU (spesial), BEBEK GORENG SAMBAL TERASI dan BEBEK SAMBAL IJO (regular)","menu"
"bebek apa yang enak?","Semua menu bebek kami enak! BEBEK GORENG ALA ROYAL'S untuk yang premium, BEBEK WOKU untuk yang suka pedas, atau BEBEK SAMBAL IJO untuk yang tradisional","menu"
"pilihan bebek apa saja?","Menu Bebek yang tersedia yaitu: BEBEK GORENG ALA ROYAL'S, BEBEK GORENG SAMBAL TERASI, BEBEK SAMBAL IJO, BEBEK WOKU.","menu"
"burung dara ada menu apa saja?","Menu Burung dara yang tersedia yaitu: BURUNG DARA GORENG MENTEGA, BURUNG DARA GORENG KERING","menu"
"menu burung dara apa yang ada?","Menu Burung dara yang tersedia yaitu: BURUNG DARA GORENG MENTEGA, BURUNG DARA GORENG KERING","menu"
"pigeon menu apa saja?","Menu Burung dara yang tersedia yaitu: BURUNG DARA GORENG MENTEGA, BURUNG DARA GORENG KERING","menu"
"olahan burung dara apa?","Menu Burung dara yang tersedia yaitu: BURUNG DARA GORENG MENTEGA, BURUNG DARA GORENG KERING","menu"
"burung dara goreng ada varian apa?","Menu Burung dara yang tersedia yaitu: BURUNG DARA GORENG MENTEGA, BURUNG DARA GORENG KERING","menu"
"jenis masakan burung dara?","Menu Burung dara yang tersedia yaitu: BURUNG DARA GORENG MENTEGA, BURUNG DARA GORENG KERING","menu"
"ada menu burung dara apa?","Menu Burung dara yang tersedia yaitu: BURUNG DARA GORENG MENTEGA, BURUNG DARA GORENG KERING","menu"
"squab menu apa yang tersedia?","Menu Burung dara yang tersedia yaitu: BURUNG DARA GORENG MENTEGA, BURUNG DARA GORENG KERING","menu"
"apakah ada burung dara goreng mentega?","Tersedia Burung Dara Goreng Mentega: Rp.65.000/Ekor","menu"
"apakah ada burung dara goreng kering?","Tersedia Burung Dara Goreng Kering: Rp.65.000/Ekor","menu"
"harga BURUNG DARA GORENG MENTEGA?","Harga BURUNG DARA GORENG MENTEGA: Rp.65.000/Ekor","harga"
"burung dara goreng mentega berapa?","Harga BURUNG DARA GORENG MENTEGA: Rp.65.000/Ekor","harga"
"pigeon butter fried price","Harga BURUNG DARA GORENG MENTEGA: Rp.65.000/Ekor","harga"
"harga burung dara mentega","Harga BURUNG DARA GORENG MENTEGA: Rp.65.000/Ekor","harga"
"berapa harga burung dara goreng mentega?","Harga BURUNG DARA GORENG MENTEGA: Rp.65.000/Ekor","harga"
"harga burung dara butter","Harga BURUNG DARA GORENG MENTEGA: Rp.65.000/Ekor","harga"
"harga BURUNG DARA GORENG KERING?","Harga BURUNG DARA GORENG KERING: Rp.65.000/Ekor","harga"
"burung dara goreng kering berapa?","Harga BURUNG DARA GORENG KERING: Rp.65.000/Ekor","harga"
"pigeon dry fried price","Harga BURUNG DARA GORENG KERING: Rp.65.000/Ekor","harga"
"harga burung dara kering","Harga BURUNG DARA GORENG KERING: Rp.65.000/Ekor","harga"
"berapa harga burung dara goreng kering?","Harga BURUNG DARA GORENG KERING: Rp.65.000/Ekor","harga"
"harga burung dara crispy","Harga BURUNG DARA GORENG KERING: Rp.65.000/Ekor","harga"
"daftar harga menu burung dara","Berikut daftar harga menu burung dara: BURUNG DARA GORENG MENTEGA Rp.65.000/Ekor, BURUNG DARA GORENG KERING Rp.65.000/Ekor","harga"
"harga semua olahan burung dara","Berikut daftar harga menu burung dara: BURUNG DARA GORENG MENTEGA Rp.65.000/Ekor, BURUNG DARA GORENG KERING Rp.65.000/Ekor","harga"
"price list pigeon","Berikut daftar harga menu burung dara: BURUNG DARA GORENG MENTEGA Rp.65.000/Ekor, BURUNG DARA GORENG KERING Rp.65.000/Ekor","harga"
"berapa harga burung dara?","Semua menu burung dara harga sama: Rp.65.000 per ekor","harga"
"harga burung dara semua sama?","Ya, semua menu burung dara harga sama Rp.65.000 per ekor","harga"
"burung dara harganya berapa?","Harga burung dara: Rp.65.000 per ekor untuk semua varian","harga"
"price burung dara per ekor","Harga burung dara: Rp.65.000 per ekor","harga"
"beda harga burung dara mentega dan kering?","Harga sama: Rp.65.000 per ekor untuk kedua varian","harga"
"per ekor burung dara berapa?","Harga burung dara: Rp.65.000 per ekor","harga"
"satuan harga burung dara","Harga burung dara dihitung per ekor: Rp.65.000","harga"
"recommend menu burung dara","Kami punya 2 menu burung dara: BURUNG DARA GORENG MENTEGA (lembut) dan BURUNG DARA GORENG KERING (crispy), harga sama Rp.65.000 per ekor","menu"
"burung dara mana yang enak?","Kedua menu burung dara kami enak! BURUNG DARA GORENG MENTEGA lebih lembut, BURUNG DARA GORENG KERING lebih crispy","menu"
"pilihan burung dara apa?","Menu Burung dara yang tersedia yaitu: BURUNG DARA GORENG MENTEGA, BURUNG DARA GORENG KERING","menu"
"beda burung dara mentega dan kering","BURUNG DARA GORENG MENTEGA: lembut bermentega, BURUNG DARA GORENG KERING: crispy dan kering","menu"
"deskripsi menu burung dara","BURUNG DARA GORENG MENTEGA: goreng dengan saus mentega lembut, BURUNG DARA GORENG KERING: goreng kering crispy","menu"
"apa perbedaan burung dara mentega dan kering?","BURUNG DARA GORENG MENTEGA pakai saus mentega, BURUNG DARA GORENG KERING tanpa saus (kering crispy)","menu"
"burung dara untuk berapa orang?","Burung dara biasanya untuk 1 orang per ekor, harga Rp.65.000 per ekor","menu"
"berapa porsi burung dara?","Satu porsi burung dara = 1 ekor, harga Rp.65.000","harga"
"nasi ada menu apa saja?","Menu Nasi yang tersedia yaitu: NASI GORENG SPESIAL ALA ROYAL'S, NASI GORENG PERANCIS, NASI GORENG HONG KONG, NASI GORENG SEAFOOD, NASI GORENG AYAM, NASI GORENG IKAN ASIN, NASI GORENG JAWA (MERAH), NASI GORENG SAPI, NASI GORENG TELUR, NASI GORENG KEPITING, NASI CAP CAY, NASI CAP CAY SAPI.","menu"
"menu nasi apa yang ada?","Menu Nasi yang tersedia yaitu: NASI GORENG SPESIAL ALA ROYAL'S, NASI GORENG PERANCIS, NASI GORENG HONG KONG, NASI GORENG SEAFOOD, NASI GORENG AYAM, NASI GORENG IKAN ASIN, NASI GORENG JAWA (MERAH), NASI GORENG SAPI, NASI GORENG TELUR, NASI GORENG KEPITING, NASI CAP CAY, NASI CAP CAY SAPI.","menu"
"fried rice menu apa saja?","Menu Nasi yang tersedia yaitu: NASI GORENG SPESIAL ALA ROYAL'S, NASI GORENG PERANCIS, NASI GORENG HONG KONG, NASI GORENG SEAFOOD, NASI GORENG AYAM, NASI GORENG IKAN ASIN, NASI GORENG JAWA (MERAH), NASI GORENG SAPI, NASI GORENG TELUR, NASI GORENG KEPITING, NASI CAP CAY, NASI CAP CAY SAPI.","menu"
"nasi goreng ada varian apa?","Menu Nasi yang tersedia yaitu: NASI GORENG SPESIAL ALA ROYAL'S, NASI GORENG PERANCIS, NASI GORENG HONG KONG, NASI GORENG SEAFOOD, NASI GORENG AYAM, NASI GORENG IKAN ASIN, NASI GORENG JAWA (MERAH), NASI GORENG SAPI, NASI GORENG TELUR, NASI GORENG KEPITING, NASI CAP CAY, NASI CAP CAY SAPI.","menu"
"rice dishes apa yang tersedia?","Menu Nasi yang tersedia yaitu: NASI GORENG SPESIAL ALA ROYAL'S, NASI GORENG PERANCIS, NASI GORENG HONG KONG, NASI GORENG SEAFOOD, NASI GORENG AYAM, NASI GORENG IKAN ASIN, NASI GORENG JAWA (MERAH), NASI GORENG SAPI, NASI GORENG TELUR, NASI GORENG KEPITING, NASI CAP CAY, NASI CAP CAY SAPI.","menu"
"jenis nasi goreng apa saja?","Menu Nasi yang tersedia yaitu: NASI GORENG SPESIAL ALA ROYAL'S, NASI GORENG PERANCIS, NASI GORENG HONG KONG, NASI GORENG SEAFOOD, NASI GORENG AYAM, NASI GORENG IKAN ASIN, NASI GORENG JAWA (MERAH), NASI GORENG SAPI, NASI GORENG TELUR, NASI GORENG KEPITING, NASI CAP CAY, NASI CAP CAY SAPI.","menu"
"apakah ada nasi goreng spesial ala royal's?","Tersedia Nasi Goreng Spesial Ala Royal's: Rp.35.000","menu"
"apakah ada nasi goreng perancis?","Tersedia Nasi Goreng Perancis: Rp.45.000","menu"
"apakah ada nasi goreng hong kong?","Tersedia Nasi Goreng Hong Kong: Rp.40.000 / + Meatball: Rp.47.000","menu"
"apakah ada nasi goreng seafood?","Tersedia Nasi Goreng Seafood: Rp.40.000","menu"
"apakah ada nasi goreng ayam?","Tersedia Nasi Goreng Ayam: Rp.35.000","menu"
"apakah ada nasi goreng ikan asin?","Tersedia Nasi Goreng Ikan Asin: Rp.35.000","menu"
"apakah ada nasi goreng jawa?","Tersedia Nasi Goreng Jawa (Merah): Rp.35.000","menu"
"apakah ada nasi goreng sapi?","Tersedia Nasi Goreng Sapi: Rp.45.000","menu"
"apakah ada nasi goreng telur?","Tersedia Nasi Goreng Telur: Rp.35.000","menu"
"apakah ada nasi goreng kepiting?","Tersedia Nasi Goreng Kepiting: Rp.63.000","menu"
"apakah ada nasi cap cay?","Tersedia Nasi Cap Cay: Rp.57.000","menu"
"apakah ada nasi cap cay sapi?","Tersedia Nasi Cap Cay Sapi: Rp.72.000","menu"
"harga NASI GORENG SPESIAL ALA ROYAL'S?","Harga NASI GORENG SPESIAL ALA ROYAL'S: Rp.35.000","harga"
"nasi goreng royal's berapa?","Harga NASI GORENG SPESIAL ALA ROYAL'S: Rp.35.000","harga"
"special fried rice royal's price","Harga NASI GORENG SPESIAL ALA ROYAL'S: Rp.35.000","harga"
"harga nasi goreng spesial","Harga NASI GORENG SPESIAL ALA ROYAL'S: Rp.35.000","harga"
"harga NASI GORENG PERANCIS?","Harga NASI GORENG PERANCIS: Rp.45.000","harga"
"nasi goreng perancis harganya?","Harga NASI GORENG PERANCIS: Rp.45.000","harga"
"french fried rice price","Harga NASI GORENG PERANCIS: Rp.45.000","harga"
"harga nasi goreng french","Harga NASI GORENG PERANCIS: Rp.45.000","harga"
"harga NASI GORENG HONG KONG?","Harga NASI GORENG HONG KONG: Rp.40.000 / + Meatball: Rp.47.000","harga"
"nasi goreng hong kong berapa?","Harga NASI GORENG HONG KONG: Rp.40.000 / + Meatball: Rp.47.000","harga"
"hong kong fried rice harga","Harga NASI GORENG HONG KONG: Rp.40.000 / + Meatball: Rp.47.000","harga"
"harga nasi goreng dengan bakso","Harga NASI GORENG HONG KONG dengan meatball: Rp.47.000","harga"
"nasi goreng meatball berapa?","Harga NASI GORENG HONG KONG + Meatball: Rp.47.000","harga"
"harga NASI GORENG SEAFOOD?","Harga NASI GORENG SEAFOOD: Rp.40.000","harga"
"nasi goreng seafood harganya?","Harga NASI GORENG SEAFOOD: Rp.40.000","harga"
"seafood fried rice price","Harga NASI GORENG SEAFOOD: Rp.40.000","harga"
"harga nasi goreng seafood","Harga NASI GORENG SEAFOOD: Rp.40.000","harga"
"harga NASI GORENG AYAM?","Harga NASI GORENG AYAM: Rp.35.000","harga"
"nasi goreng ayam berapa?","Harga NASI GORENG AYAM: Rp.35.000","harga"
"chicken fried rice harga","Harga NASI GORENG AYAM: Rp.35.000","harga"
"harga nasi goreng chicken","Harga NASI GORENG AYAM: Rp.35.000","harga"
"harga NASI GORENG IKAN ASIN?","Harga NASI GORENG IKAN ASIN: Rp.35.000","harga"
"nasi goreng ikan asin harganya?","Harga NASI GORENG IKAN ASIN: Rp.35.000","harga"
"salted fish fried rice price","Harga NASI GORENG IKAN ASIN: Rp.35.000","harga"
"harga nasi goreng salted fish","Harga NASI GORENG IKAN ASIN: Rp.35.000","harga"
"harga NASI GORENG JAWA (MERAH)?","Harga NASI GORENG JAWA (MERAH): Rp.35.000","harga"
"nasi goreng jawa berapa?","Harga NASI GORENG JAWA (MERAH): Rp.35.000","harga"
"javanese fried rice harga","Harga NASI GORENG JAWA (MERAH): Rp.35.000","harga"
"harga nasi goreng merah","Harga NASI GORENG JAWA (MERAH): Rp.35.000","harga"
"harga NASI GORENG SAPI?","Harga NASI GORENG SAPI: Rp.45.000","harga"
"nasi goreng sapi harganya?","Harga NASI GORENG SAPI: Rp.45.000","harga"
"beef fried rice price","Harga NASI GORENG SAPI: Rp.45.000","harga"
"harga nasi goreng beef","Harga NASI GORENG SAPI: Rp.45.000","harga"
"harga NASI GORENG TELUR?","Harga NASI GORENG TELUR: Rp.35.000","harga"
"nasi goreng telur berapa?","Harga NASI GORENG TELUR: Rp.35.000","harga"
"egg fried rice harga","Harga NASI GORENG TELUR: Rp.35.000","harga"
"harga nasi goreng egg","Harga NASI GORENG TELUR: Rp.35.000","harga"
"harga NASI GORENG KEPITING?","Harga NASI GORENG KEPITING: Rp.63.000","harga"
"nasi goreng kepiting harganya?","Harga NASI GORENG KEPITING: Rp.63.000","harga"
"crab fried rice price","Harga NASI GORENG KEPITING: Rp.63.000","harga"
"harga nasi goreng crab","Harga NASI GORENG KEPITING: Rp.63.000","harga"
"harga NASI CAP CAY?","Harga NASI CAP CAY: Rp.57.000","harga"
"nasi cap cay berapa?","Harga NASI CAP CAY: Rp.57.000","harga"
"cap cay rice price","Harga NASI CAP CAY: Rp.57.000","harga"
"harga nasi dengan cap cay","Harga NASI CAP CAY: Rp.57.000","harga"
"harga NASI CAP CAY SAPI?","Harga NASI CAP CAY SAPI: Rp.72.000","harga"
"nasi cap cay sapi harganya?","Harga NASI CAP CAY SAPI: Rp.72.000","harga"
"beef cap cay rice price","Harga NASI CAP CAY SAPI: Rp.72.000","harga"
"harga nasi cap cay dengan sapi","Harga NASI CAP CAY SAPI: Rp.72.000","harga"
"daftar harga nasi goreng","Berikut daftar harga nasi goreng: Regular Rp.35.000 (6 varian), Medium Rp.40.000-45.000 (3 varian), Premium Rp.63.000 (kepiting)","harga"
"harga semua menu nasi","Berikut daftar harga menu nasi: Nasi Goreng Rp.35.000-63.000, Nasi Cap Cay Rp.57.000-72.000","harga"
"price list fried rice","Berikut daftar harga nasi goreng: Ayam/Ikan Asin/Jawa/Telur/Royal's Rp.35.000, Hong Kong/Seafood Rp.40.000, Perancis/Sapi Rp.45.000, Kepiting Rp.63.000","harga"
"nasi goreng termahal berapa?","Nasi goreng termahal: NASI GORENG KEPITING Rp.63.000","harga"
"nasi goreng termurah apa?","Nasi goreng termurah: Rp.35.000 (Ayam, Ikan Asin, Jawa, Telur, Royal's)","harga"
"range harga nasi goreng","Harga nasi goreng mulai dari Rp.35.000 sampai Rp.63.000","harga"
"nasi cap cay harga berapa?","Nasi Cap Cay: Rp.57.000, Nasi Cap Cay Sapi: Rp.72.000","harga"
"beda harga nasi goreng","Ada 4 tier harga: Basic Rp.35.000, Medium Rp.40.000-45.000, Premium Rp.63.000, Cap Cay Rp.57.000-72.000","harga"
"recommend nasi goreng murah","Nasi goreng murah: NASI GORENG AYAM, IKAN ASIN, JAWA, atau TELUR Rp.35.000","menu"
"nasi goreng special apa?","NASI GORENG SPESIAL ALA ROYAL'S dan NASI GORENG KEPITING adalah varian special","menu"
"nasi goreng dengan harga 35rb","Nasi goreng Rp.35.000: AYAM, IKAN ASIN, JAWA, TELUR, ROYAL'S","harga"
"nasi goreng kepiting kenapa mahal?","NASI GORENG KEPITING Rp.63.000 karena menggunakan bahan premium kepiting","harga"
"telur ada menu apa saja?","Menu Telur yang tersedia yaitu: TELUR MATA SAPI, TELUR DADAR, TELUR DADAR CAY PO, TELUR REBUS.","menu"
"menu telur apa yang ada?","Menu Telur yang tersedia yaitu: TELUR MATA SAPI, TELUR DADAR, TELUR DADAR CAY PO, TELUR REBUS.","menu"
"egg menu apa saja?","Menu Telur yang tersedia yaitu: TELUR MATA SAPI, TELUR DADAR, TELUR DADAR CAY PO, TELUR REBUS.","menu"
"olahan telur apa yang tersedia?","Menu Telur yang tersedia yaitu: TELUR MATA SAPI, TELUR DADAR, TELUR DADAR CAY PO, TELUR REBUS.","menu"
"masakan telur ada apa?","Menu Telur yang tersedia yaitu: TELUR MATA SAPI, TELUR DADAR, TELUR DADAR CAY PO, TELUR REBUS.","menu"
"jenis telur apa saja?","Menu Telur yang tersedia yaitu: TELUR MATA SAPI, TELUR DADAR, TELUR DADAR CAY PO, TELUR REBUS.","menu"
"apakah ada telur mata sapi?","Tersedia Telur Mata Sapi: Rp.10.000","menu"
"apakah ada telur dadar?","Tersedia Telur Dadar: Rp.15.000","menu"
"apakah ada telur dadar cay po?","Tersedia Telur Dadar Cay Po: Rp.32.000","menu"
"apakah ada telur rebus?","Tersedia Telur Rebus: Rp.10.000","menu"
"harga TELUR MATA SAPI?","Harga TELUR MATA SAPI: Rp.10.000","harga"
"telur mata sapi berapa?","Harga TELUR MATA SAPI: Rp.10.000","harga"
"fried egg sunny side up price","Harga TELUR MATA SAPI: Rp.10.000","harga"
"harga telur ceplok","Harga TELUR MATA SAPI: Rp.10.000","harga"
"telur mata sapi harganya?","Harga TELUR MATA SAPI: Rp.10.000","harga"
"harga egg sunny side up","Harga TELUR MATA SAPI: Rp.10.000","harga"
"harga TELUR DADAR?","Harga TELUR DADAR: Rp.15.000","harga"
"telur dadar berapa harganya?","Harga TELUR DADAR: Rp.15.000","harga"
"omelette price","Harga TELUR DADAR: Rp.15.000","harga"
"harga telur goreng dadar","Harga TELUR DADAR: Rp.15.000","harga"
"telur dadar biasa berapa?","Harga TELUR DADAR: Rp.15.000","harga"
"harga plain omelette","Harga TELUR DADAR: Rp.15.000","harga"
"harga TELUR DADAR CAY PO?","Harga TELUR DADAR CAY PO: Rp.32.000","harga"
"telur dadar cay po berapa?","Harga TELUR DADAR CAY PO: Rp.32.000","harga"
"cay po omelette price","Harga TELUR DADAR CAY PO: Rp.32.000","harga"
"harga telur dadar special","Harga TELUR DADAR CAY PO: Rp.32.000","harga"
"telur cay po harganya?","Harga TELUR DADAR CAY PO: Rp.32.000","harga"
"harga special omelette","Harga TELUR DADAR CAY PO: Rp.32.000","harga"
"harga TELUR REBUS?","Harga TELUR REBUS: Rp.10.000","harga"
"telur rebus berapa?","Harga TELUR REBUS: Rp.10.000","harga"
"boiled egg price","Harga TELUR REBUS: Rp.10.000","harga"
"harga telur rebus biasa","Harga TELUR REBUS: Rp.10.000","harga"
"telur rebus harganya?","Harga TELUR REBUS: Rp.10.000","harga"
"harga hard boiled egg","Harga TELUR REBUS: Rp.10.000","harga"
"daftar harga menu telur","Berikut daftar harga menu telur: TELUR MATA SAPI Rp.10.000, TELUR DADAR Rp.15.000, TELUR DADAR CAY PO Rp.32.000, TELUR REBUS Rp.10.000","harga"
"harga semua olahan telur","Berikut daftar harga menu telur: TELUR MATA SAPI Rp.10.000, TELUR DADAR Rp.15.000, TELUR DADAR CAY PO Rp.32.000, TELUR REBUS Rp.10.000","harga"
